step,reward,success_rate
100000,7.30981916,0.12
200000,45.131131190000005,0.47
300000,61.77913898999999,0.63
400000,59.8943311,0.61
500000,69.04422602000001,0.7
600000,75.07357143,0.76
700000,78.16280031,0.79
800000,48.63838170000001,0.5
900000,88.40364404,0.89
1000000,97.56831122,0.98
1100000,98.67423525,0.99
1200000,97.61025660999998,0.98
1300000,97.60010345,0.98
1400000,97.59688844,0.98
1500000,97.55138803,0.98
100000,7.30981916,0.12
200000,45.131131190000005,0.47
300000,61.77913898999999,0.63
400000,59.8943311,0.61
500000,69.04422602000001,0.7
600000,75.07357143,0.76
700000,78.16280031,0.79
800000,48.63838170000001,0.5
900000,88.40364404,0.89
1000000,97.56831122,0.98
1100000,98.67423525,0.99
1200000,97.61025660999998,0.98
1300000,97.60010345,0.98
1400000,97.59688844,0.98
1500000,97.55138803,0.98
